Species,Lat.mean,T.binary
Viola_dissecta,46.6539245945946,0
Viola_disjuncta,50.788175,0
Viola_diffusa,25.9076041034483,0
Viola_diamantiaca,25.72,0
Viola_delavayi,27.7767022325581,0
Viola_decumbens,-34.0976674791667,0
Viola_davidii,28.2936381153846,0
Viola_dactyloides,51.15553137,0
Viola_cucullata,42.1918120072071,0
Viola_collina,59.7132310182185,0
Viola_chaerophylloides,35.108047525,0
Viola_canina,59.3869055219041,0
Viola_canadensis,40.4375018418855,0
Viola_brevistipulata,38.6372188914729,0
Viola_blanda,43.1085436347299,0
Viola_biflora,63.1569488444174,0
Viola_betonicifolia,-33.2771788951782,0
Viola_belophylla,56.6481881871377,0
Viola_arvensis,56.0374507368915,0
Viola_arcuata,36.8101945685075,0
Viola_ambigua,48.756908558375,0
Viola_albida,36.6048466011765,0
Viola_alba,44.6546817028544,0
Viola_adunca,43.9034813740461,0
Viola_acuminata,38.8887178277497,0
Vigna_vexillata,-13.975170657156,1
Vigna_unguiculata,10.3275955059317,1
Vigna_umbellata,18.4937350974729,1
Vigna_triphylla,-5.2589127826087,1
Vigna_trilobata,12.15151837255,1
Vigna_trichocarpa,4.81339631372549,1
Vigna_tenuicaulis,19.0706674,1
Vigna_subterranea,-3.38561665,1
Vigna_subramaniana,28.0112667,0
Vigna_stipulacea,22.1690305,1
Vigna_schimperi,0.962114989583333,1
Vigna_riukiuensis,-8.31666666666667,1
Vigna_reticulata,5.43215186886887,1
Vigna_radiata,-14.0963748271072,1
Vigna_racemosa,9.94544303426791,1
Vigna_populnea,25.2673704756537,0
Vigna_parkeri,-0.960006952380952,1
Vigna_oblongifolia,-7.44854599485232,1
Vigna_nigritia,4.30572396410256,1
Vigna_nakashimae,22.9,1
Vigna_mungo,28.4533835205992,0
Vigna_multinervis,3.22106156903766,1
Vigna_monantha,6.20958375,1
Vigna_minima,16.2864723564356,1
Vigna_membranacea,2.71060980753138,1
Vigna_marina,-5.3515958059752,1
