"Age","Temp_C"
0.04179,1.88507296
0.04182,1.8594
0.04205,2.11047576
0.0421,2.25285976
0.04259,2.27231776
0.04267,2.1007875
0.04267,2.076577875
0.04306,1.867420875
0.04321,1.931650875
0.04348,2.028205875
0.04376,2.10401664
0.04403,2.12339736
0.04406,2.25934464
0.04431,2.15572096
0.04458,2.09110176
0.04481,2.012095875
0.04486,2.012095875
0.04506,2.02015
0.04513,2.157337875
0.04541,2.222071875
0.04579,2.222071875
0.04596,2.319382875
0.04606,2.222071875
0.04606,2.157337875
0.0462,2.173510875
0.0462,2.12985984
0.04623,2.1816
0.04682,2.45441184
0.04706,2.473974
0.04706,2.51965824
0.04711,2.539254
0.04733,2.63083416
0.0474,2.33075224
0.04766,2.400667875
0.0477,2.278806
0.04806,2.384396875
0.04828,2.1330915
0.04886,2.1654235
0.04886,2.18807256
0.04916,2.27231776
0.04945,2.213974
0.04961,2.213974
0.04973,2.29827744
0.04973,2.23989336
0.04974,2.1816
0.05003,2.2625875
0.05006,2.311264
0.05022,2.270695875
0.05032,2.173510875
0.05048,2.20749696
0.05056,2.16865824
0.05062,2.116936
0.05092,1.9396875
0.05107,1.915582875
0.0515,1.9075515
0.0515,2.286917875
0.0518,2.66359456
0.05207,2.78833944
0.05207,2.93988736
0.05208,2.90689176
0.0521,2.58501664
0.0524,2.13632344
0.0525,2.084646
0.05269,2.044322875
0.05299,2.028205875
0.05307,1.987944
0.05326,1.995992875
0.05326,2.149254
0.05329,2.15572096
0.05332,2.12339736
0.05359,2.116936
0.05389,2.17512856
0.05407,2.18807256
0.05418,2.1816
0.05448,2.50007256
0.05478,2.473974
0.05491,2.408806
0.05503,2.29827744
0.05503,2.335625875
0.05506,1.9396875
0.05507,1.987944
0.05508,1.995992875
0.05537,1.987944
0.05591,2.01370656
0.05591,2.0362635
0.05597,2.376264
0.05607,2.4576715
0.05607,2.4250875
0.05627,2.531087875
0.05632,2.44789336
0.05652,2.20102104
0.05657,2.56539736
0.05686,2.637384
0.05707,2.59155864
0.05718,2.63083416
0.05767,2.67015
0.05767,2.311264
0.05802,2.547421875
0.05807,2.498440875
0.05807,2.5066
0.05817,2.5555915
0.0585,2.5555915
0.05884,2.3600035
0.05908,2.416945875
0.05944,2.416945875
0.05944,2.2625875
0.0599,2.30477016
0.06008,2.2950315
0.06027,2.4576715
0.06108,2.246376
0.06108,2.116936
0.06121,2.044322875
0.06121,2.07819136
0.06155,1.89791616
0.06188,2.16218904
0.06191,2.12339736
0.06208,2.084646
0.06208,1.99438296
0.06221,1.93004376
0.06253,1.71851904
0.06253,1.86581656
0.06254,1.835347875
0.06287,1.8754435
0.06308,1.9075515
0.06324,2.028205875
0.06363,2.1330915
0.06382,2.16218904
0.064,2.376264
0.06403,2.801494
0.06408,2.8344
0.06408,2.82123424
0.06429,2.958046875
0.06429,2.94428888778845
0.06508,1.91290555662645
0.06508,1.49762488994764
0.06508,1.36024955450084
0.0653,1.500271875
0.06562,1.71851904
0.06602,2.052384
0.06605,2.22045216
0.06605,2.17512856
0.06606,2.13632344
0.06683,2.02015
0.06689,1.827334
0.06709,1.87009488781925
0.06709,2.02015
0.06723,1.75262222328845
0.06762,1.547950875
0.06783,1.67380696
0.06783,1.66104216
0.06802,1.64190336
0.06806,2.09110176
0.06842,2.25285976
0.06855,2.270695875
0.06882,2.711146875
0.0691,2.727557875
0.0691,2.5229235
0.06921,2.711146875
0.06954,2.61119136
0.06961,2.311264
0.07001,2.35458488780525
0.07009,2.34375
0.07009,2.604646
0.07009,2.58283622113204
0.07019,2.547421875
0.07038,2.51312856
0.07068,2.51965824
0.07081,2.36975896
0.07081,2.46093144
0.07098,2.39578584
0.07128,2.41531776
0.07158,2.46093144
0.07169,2.449522875
0.07188,2.531087875
0.07209,2.941537875
0.07209,3.106942875
0.07209,3.131814
0.07209,3.08540064
0.07218,3.00596256
0.07248,2.84757024
0.07274,2.79491616
0.07278,2.95309344
0.07308,3.01257624
0.07338,3.11191584
0.07368,2.97291096
0.07398,2.85415704
0.074,2.61119136
0.074,2.465821875
0.074,2.702944
0.07409,2.941537875
0.07409,3.040696875
0.07429,3.140107875
0.07439,3.04566144
0.07439,2.88051544
0.07439,2.90689176
0.07459,3.04566144
0.07477,3.18492504
0.07477,3.27138336
0.07477,3.55200384
0.07489,4.105576
0.07489,4.11917184
0.0751,4.15998624
0.07519,4.15998624
0.07549,3.98341504
0.07579,3.38472984
0.07581,3.41812864
0.07586,3.41812864
0.07609,3.53859616
0.0761,3.53859616
0.0763,3.65270424
0.0763,3.55200384
0.0763,3.34468824
0.0764,3.27804184
0.0765,3.25806976
0.0767,3.198214
