Species,Tm.mean
Tuberaria_globulariifolia,127.5
Trymatococcus_oligandrus,257.666666666667
Trymalium_floribundum,172.415094339623
Trymalium,166.853448275862
Tropidocarpum_gracile,157.813333333333
Trophis_racemosa,241.307692307692
Trophis_involucrata,238.947368421053
Trophis_caucana,224.139534883721
Tropaeolum_warmingianum,202.944444444444
Tropaeolum_tuberosum,113.260869565217
Tropaeolum_tricolor,133.384615384615
Tropaeolum_stipulatum,149.444444444444
Tropaeolum_speciosum,96.9230769230769
Tropaeolum_smithii,143.222222222222
Tropaeolum_repandum,226.529411764706
Tropaeolum_pubescens,141.758620689655
Tropaeolum_porifolium,107.555555555556
Tropaeolum_polyphyllum,64.6153846153846
Tropaeolum_peregrinum,120
Tropaeolum_pentaphyllum,169.5
Tropaeolum_pendulum,152.388888888889
Tropaeolum_peltophorum,191.285714285714
Tropaeolum_papillosum,185.5
Tropaeolum_moritzianum,181.483870967742
Tropaeolum_minus,195.625
Tropaeolum_meyeri,186.571428571429
Tropaeolum_majus,158.085106382979
Tropaeolum_magnificum,138.2
Tropaeolum_leptophyllum,95.4
Tropaeolum_kuntzeanum,174.555555555556
Tropaeolum_incisum,82.55
Tropaeolum_hookerianum,102.666666666667
Tropaeolum_harlingii,240.333333333333
Tropaeolum_fintelmannii,214.538461538462
Tropaeolum_emarginatum,162.954545454545
Tropaeolum_cuspidatum,178.941176470588
Tropaeolum_cochabambae,180.666666666667
Tropaeolum_ciliatum,116.230769230769
Tropaeolum_capillare,189.647058823529
Tropaeolum_brachyceras,133.875
Tropaeolum_beuthii,172
Tropaeolum_azureum,128.444444444444
Tropaeolum_asplundii,169.75
Tropaeolum_argentinum,173.916666666667
Tropaeolum_adpressum,175.368421052632
Trochomeriopsis_diversifolia,253.448979591837
Trochomeria_polymorpha,191.8
Trochomeria_macrocarpa,227.095238095238
Trochetia_uniflora,164
Trochetia_triflora,210
Trochetia_granulata,164.666666666667
Triumfetta_pilosa,200.785714285714
Triumfetta_pentandra,268.809523809524
Triumfetta_lappula,248.183333333333
Triumfetta_heudelotii,239.909090909091
Triumfetta_annua,185.076923076923
Trisyngyne_grandis,161
Tristiropsis_acutangula,252.4
Tristira_triptera,263.615384615385
Tristicha_trifaria,239.367346938776
Tristemonanthus_nigrisilvae,251.375
Tristemma_littorale,243.294117647059
Tristellateia_madagascariensis,218
Tristellateia_australasiae,255.75
Tristellateia_africana,253.4
Tristaniopsis_laurina,168.19298245614
Tristania_neriifolia,154.847826086957
Trischidium_molle,241.934782608696
Trischidium_decipiens,242
Tripterygium_wilfordii,106.72
Tripterygium_regelii,73.9523809523809
Tripterygium_hypoglaucum,172.589743589744
Tripterococcus_brunonis,169.165354330709
Tripodion_tetraphyllum,164.648648648649
Triplochiton_zambesiacus,241.25
Triplarina_volcanica,195.9375
Triplarina_nitchaga,206.75
Triplarina_imbricata,168.782608695652
